Release Version,Release Date,Project Name,Team / Squad,Sprint / Cycle,Sprint Start Date,Sprint End Date,Total Stories Planned,Total Stories Delivered,Stories Carried Over,Delivery %,Bugs Found (Internal QA),Bugs Fixed Before Release,Bugs Deferred,Bugs Re-opened,Bugs Raised by Customer,Critical Bugs by Customer,High Bugs by Customer,Medium Bugs by Customer,Low Bugs by Customer,Customer Bugs Fixed in Release,Customer Bugs Pending,Mean Time to Resolve (hrs),Test Cases Written,Test Cases Executed,Test Cases Passed,Test Cases Failed,Automation Coverage %,Code Coverage %,Regression Cycles,Regression Pass %,Hotfixes Post Release,Rollbacks,Production Incidents,What Went Well,What Didn't Go Well,Action Items,Owner (Action Items),Retro Date,Quality Score (0-10),Delivery Score (0-10),Customer Satisfaction Score (0-10),Overall Release Score (0-10),Comments / Notes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
